reunion|n. 重逢；团圆|We have a family reunion on a monthly basis.|我们家每个月都会团聚一次。|family reunion 家庭团聚 家庭大团圆；family reunion dinner 团圆饭；encounter is reunion 世间所有相遇都是久别【重逢】|【辨析】reunite v.（使）团聚，（使）重聚；union   n.联合，结合；onion   n.洋葱，洋葱头；【谐音】有你(union)"：重新(re)有你。
fresh|adj. 新鲜的；新的；精力充沛的|Is this milk fresh ?|这是鲜牛奶吗？|make a fresh start 重新开始；as fresh as 像……一样；keep one's mind fresh 保持头脑清楚；fresh water 淡水；fresh vegetables 新鲜蔬菜|【辨析】flesh   n.（人或动物的）肉；flash   v.闪光，闪亮；refresh v.使恢复精神，使消除疲劳；【谐音】赴瑞士(fresh)"：为了新的手表，赴瑞士。
upon|prep. 在…之上；一…就；…又…；即将发生|Upon her head she wore a white velvet hat.|她头戴一顶白色天鹅绒帽子。|once upon a time 从前，很久以前；look upon as 看做，作为；look down upon sb 轻视某人|【谐音】阿胖(upon)"：体重在你之上，表示在...之上的意思。
hot|adj. 热的；辣的；棘手的；走红的；最新的|Do you like this hot weather?|你喜欢这种炎热的天气吗？|hot temper 急躁的脾气; /like a cat on hot bricks 急促不安,如热锅上的蚂蚁；be hot at 对…很拿手,擅长于,精通…|【辨析】hat  n.（常指带檐的）帽子；heat n.热能，热量；【谐音】好烫(hot)"：这东西很热。；【变形】比较级：hotter；最高级：hottest；现在分词：hotting
famous|adj. 著名的|He is a famous actor.|他是一个出名的演员。|famous brand 名牌；grand - 盛大的 豪华的。
while|conj. 当…的时候；尽管；与…同时；然而；直到…为止；n. 一会儿|Her parents died while she was still at school.|她还在读书时父母就去世了。|once in a while 偶尔（=sometimes)；a short while ago 不久前；take a while --- 需要一段時間|【辨析】white adj.白色的；whole adj.全部的，整个的；when  adv.什么时候；【谐音】歪哦(while)"：当电线杆歪了的时候，表示当...的时候、尽管、然而等含义。；【变形】现在分词：whiling
awesome|adj. 令人惊叹的；很好的|The awesome challenge scares him off.|这个巨大的挑战把他吓跑了。||【辨析】tiresome adj.烦人的，令人厌烦的；awe      n.敬畏，惊叹；【谐音】哦，神(awesome)"：令人敬畏的，非常棒的。
harness|v. 控制，利用；n. 马具；挽具；背带|We can harness solar energy to generate power.|我们可以利用太阳能发电。|in harness 比喻经常做的工作；die in harness 殉职，在工作中死去；work/run in double harness 与伙伴共同工作，夫妻双双工作
easy|adj. 容易的；舒适的；随和的；adv. 小心，慢些，轻点|The written exam is easy but the oral exam is not.|笔试很容易，但口试却不然。|easy happiness 唾手可得的幸福|【辨析】ease   n.容易；easily adv.容易地；essay  n.（学生为某门课程所写的）短文，论说文；busy   adj.繁忙的，忙碌的；【谐音】一Z(easy)"：一个Z写起来很容易。；【变形】比较级：easier；最高级：easiest
rest|n. 其余部分；休息时间；v. 休息；中止；安息；倚靠|I'm not doing this job for the rest of my life.|我不会一辈子干这种工作。|for the rest 至于其他；rest on 依靠，依赖于；and the rest 其他的；等等|【辨析】nest n.窝，巢，穴；best adj.最好的，最出色的；west n.西，西方；test n.（书面或口头的）测验，考试；vest n.<英> 背心，汗衫；pest n.害虫，有害动物；risk n.危险，风险；rot  v.（使）腐败，（使）腐烂；【谐音】热死了(rest)"：天气太热，需要休息一会。
factual|adj. 根据事实的，真实的|She gave a clear, factual account of the event to the police.|她如实、清晰地向警方陈述了整件事。|factual knowledge 实际情况|【辨析】actual   adj.真实的，实际的，现实的；fatal    adj.致命的；faculty  n.机能；facility n.设施，设备；【谐音】饭可戳我(factual)"：事实(fact)戳我(tual)，表示真实的、事实的。
dormitory|n. 宿舍|Female students under twenty-one were required to live in dormitories .|21岁以下的女生需要住在宿舍里。||【变形】复数形式：dormitories
rule|n. 规章；规则；统治；v. 统治；支配；裁定|It's against all rules and regulations .|这违背了所有的规章制度。|rule out 排除；取消；as a rule 通常|【辨析】role   n.（演员的）角色；rude   adj.粗鲁的，无礼的；ruler  n.统治者，管理者；rose   n.玫瑰，蔷薇；ruling n.（尤指法庭的）裁决，裁定；clue   n.线索，提示；【谐音】入了(rule)"：入了你的地盘，即统治。；【变形】现在分词：ruling
insistence|n. 坚持，坚决要求|At her coach's insistence , Amy signed up for the competition.|在教练的坚持下，艾米报名参加了比赛。|insist v 坚决要求吗，坚持认为|【辨析】insistent   adj.坚持的，坚决要求的；persistence n.继续存在，维持；incidence   n.发生率；existence   n.存在，实有；assistance  n.帮助，援助；resistance  n.反对，抵制；instant     adj.立刻的，马上的；consistent  adj.始终如一的，一贯的；【谐音】因为sister坚持(insistence)"：妹妹去世后，坚决主张打官司。
poem|n. 诗|He wrote several lyrical poems to his girlfriend.|他给女朋友写了几首抒情诗。||【辨析】poet   n.诗人；poetry n.诗歌
thorough|adj. 彻底的；仔细的；十足的|The police carried out a thorough investigation.|警方展开了全面的调查。|thorougth knowledge 彻底的知识即渊博|【辨析】thoroughly adv.完全地，极度地；through    prep.穿过，从一端到另一端；rough      adj.（表面）粗糙的，不平的；though     conj.虽然，尽管；thought    n.想法，看法，主意；throughout prep.遍及，到处；thoughtful adj.体贴入微的，考虑周到的；【谐音】色弱(thorough)"：色弱想考驾照，被彻底地、完全地拒之门外了。
sensitivity|n. 体贴；敏感性；灵敏度|As we all know, she is a girl with great sensitivity .|我们都知道，她是个很敏感的女孩。||【辨析】sensitive   adj.过敏的，易受影响的；sensation   n.感觉，知觉；sensational adj.轰动的，激动人心的；sentiment   n.观点，看法，情绪；sensible    adj.理智的，合理的；sentimental adj.情感的（而非理性的）；【变形】复数形式：sensitivities
mentality|n. 心态；思想状况|People with a get-rich-quick mentality are more likely to break the law.|那些抱着一夜暴富心态的人更容易触犯法律。|criminal mentality 犯罪心理；vindictive mentality 报复心理|【辨析】mortality n.死亡人数，死亡率；mental    adj.存在于大脑中的，思考的；morality  n.道德，品行；metallic  adj.含金属的，金属制的；【变形】复数形式：mentalities
endanger|v. 危及，危害|That one mistake seriously endangered the future of the company.|仅那一个失误就严重地危及了公司的未来。|into the bargain 此外，而且|【辨析】endangered adj.（动植物）濒危的；【谐音】因单着(endanger)"：一个人独处容易陷入危险。
sociable|adj. 好交际的；友善的|The friendly and sociable couple like inviting their friends to have parties at home.|这对友善好交际的夫妇喜欢把朋友们请到家里开派对。||【辨析】socialism n.社会主义，社会主义制度；sociology n.社会学，社会关系研究；associate v.联想，联系；【谐音】宋小宝(sociable)"：像宋小宝一样善于交际的。
ugly|adj. 丑陋的|Over there is an ugly building.|那里有一个难看的建筑。||【辨析】urge v.敦促，催促，力劝；【变形】比较级：uglier；最高级：ugliest
