lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
huge|adj. 巨大的，极多的，程度高的|He gazed up at her with huge brown eyes.|他睁着棕色的大眼睛盯着她。||【辨析】hug v.拥抱
sad|adj. 悲哀的，不幸的；让人难过的|We are very sad to hear that you are leaving.|听说你要走了，我们十分难过。|dad bad sad 爸爸 坏，悲哀的|【辨析】dad  n.爸爸；bad  adj.坏的，不好的，令人不悦的；mad  adj.生气的，气愤的；sand n.沙，沙子；said adj.<法律>上述的，该……；【谐音】塞的(sad)"：心里堵塞，感到悲伤或难过。；【变形】比较级：sadder；最高级：saddest
yours|pron. 你的，您的，你们的|This is their room, and yours is just across the hall.|这是他们的房间，你们的在走廊那边。||【谐音】又是(yours)"：这东西又是你的，表示所有权。
bandage|n. 绷带|I twisted the bandage round her knee.|我用绷带缠住了她的膝盖。||【辨析】bondage n.奴役，束缚；baggage n.行李；badge   n.徽章，奖章；garbage n.<美>垃圾，废物；package n.包裹；garage  n.车库；【谐音】邦迪(bandage)"：邦迪牌创可贴。；【变形】现在分词：bandaging
salesman|n. 售货员|The insurance salesman persuaded me to buy health cover.|保险业务员劝说我购买健康保险。|offhand manner 随便的态度；put off 推迟|【辨析】saleswoman n.[贸易] 女售货员；statesman  n.政治家，国务活动家，治国之才；spokesman  n.（尤指男性）发言人，代言人；sale       n.出售，销售；【谐音】销售(sale)man(man)"：销售员就是销售的人。；【变形】复数形式：salesmen
truthful|adj. 诚实的；如实的|They decided to be truthful with her about where they had been.|他们决定对她说实话，告诉她他们去了哪里。|give a truthful account 如实陈述；to be honest 说实在的|【辨析】faithful adj.忠实的，忠诚的；truly    adv.真实地，如实地
conformity|n. 遵从，依照|Every citizen is required to act in conformity with the constitution.|每个公民都必须按照宪法行事。|be conformity with 与...一致；in conformity with 遵照|【辨析】conform      v.遵守，符合；confirm      v.确定，确认；commodity    n.商品，货物；confirmation n.确认，确定；confer       v.授予，赋予；【谐音】看父母的(conformity)"：婚姻大事看父母的，遵从他们的安排。
aunt|n. 阿姨，姑母，姨母，伯母，舅母|My aunt lives in Canada.|我的姑母住在加拿大。||【辨析】ant n.蚂蚁
protest|v. 抗议，反对；坚决表示；n. 反对，抗议|The majority protested against the decision.|大多数人反对这项决定。|protest against 抗议；对....不满；under protest 被迫地 I'm only here under protest|【辨析】protect v.保护，防护；present adj.（人）在场的，出席的；propose v.提议，建议；pretend v.伪装，假装；prevent v.阻止，阻碍；contest n.比赛，竞赛；profile n.（人头部的）侧面（像），侧影；resist  v.阻挡，抵制
active|adj. 活跃的；积极主动的；敏锐的|They were both politically active .|他们两人在政治上都很积极。|be active in 积极从事某事|【辨析】action   n.行动；activity n.活跃状况，热闹；negative adj.否定的，拒绝的；act      v.行动；actor    n.演员；passive  adj.消极的，被动的；positive adj.乐观的，有信心的；accident n.交通事故，车祸；【谐音】挨个踢(active)"：真积极，真活跃。
hide|v. 躲藏；遮挡；掩盖；n. 兽皮|He hid the letter in a drawer.|他把信藏在抽屉里。||【辨析】hike n.徒步旅行，远足；hire v.<英>租用，租借；ride v.骑（马、摩托车、自行车等）；side n.（某人左方或右方的）一边，（事物左方或右方的）一旁；wide adj.广泛的；【谐音】害的(hide)"：他害我躲在兽皮里。；【变形】过去式：hid；过去分词：hidden；现在分词：hiding
trainee|n. 受训者；实习生|He was a 22-year-old trainee hairdresser.|他是一名22岁的实习理发师。|management trainee 管理实习生，管理培训生。|【辨析】trainer  n.教员，驯兽师，教练员；examinee n.应试人，参加考试者；【谐音】捶你(trainee)"：实习生需要经常被锤炼。
back|n. 背部；后面；末尾；靠背；adj. 后面的；背面的；过去的；adv. 向后；与…有距离；返回；恢复原状；过去；答复；v. 支持，援助；（使）后退|He stood with his back to the door.|他背靠着门站着。|approve of 支持；back and forth 来回，往返 back down/off 放弃，让步 back of 在···后部，在···背部 back up 支持，援助；倒退，后退；back down 放弃，让步|【辨析】bank  n.银行；black adj.黑色的，黑的；blank adj.空白的，空的；band  n.乐队；【谐音】巴可(back)"：后面有东西。
service|n. 服务，工作；公共事业；v. 提供服务；保养|The restaurant offers great food and quality customer service .|这家餐厅提供美味的食物和优质的服务。|in the service of 为…服务，造福于…；take the service 发球；in service of 服务于|【辨析】survive  v.（经历事故、战争或疾病后）活下来，幸存；servant  n.仆人，佣人；severe   adj.十分严重的，极为恶劣的；serious  adj.严重的，危急的；survey   n.民意调查，民意测验；reserve  v.预订；strict   adj.要求严格的，严厉的；survival n.继续生存，存活，幸存；【谐音】设备死(service)"：设备坏了需要维修服务。；【变形】现在分词：servicing
fright|n. 惊吓；恐怖|A tree fell on the house and gave him a fright .|一棵树倒在房子上，吓了他一大跳。|frighten fright frightful 害怕|【辨析】frighten    v.使惊吓，使惊恐；freight     n.货物；frightening adj.可怕的，骇人的；【谐音】胡来踢(fright)"：让人感到惊吓、恐怖。
disruptive|adj. 引起混乱的，破坏性的|The teacher said that Tom was disruptive and his behaviour badly influenced other pupils.|老师说汤姆爱捣乱，他的行为严重影响了其他学生。|disruptive behavior 捣乱行为|【辨析】disruption  n.扰乱，中断；disrupt     v.中断，扰乱；destructive adj.破坏性的，毁灭性的
drop|v. （使）落下；（使）降低；（使）减少；n. 水珠；微量；下落；降低|The climber slipped and dropped to his death.|攀登者一失足掉下去摔死了。|drop me a line 给我写信；drop off 入睡；(让…)下车，把…放下；下降，减少；take a drop 喝酒；drop in 顺便走访(某人)|【辨析】crop n.庄稼；dip  v.浸，蘸；chop v.剁，砍，劈；【谐音】抓破(drop)"：手被抓破了，血滴在地上。；【变形】过去式：dropped；过去分词：dropped；现在分词：dropping
outgoing|adj. 外向的；即将卸任的；离去的|She was once an outgoing girl before the death of her father.|在她父亲逝世前，她也曾是个开朗的女孩。|a good mixer 会交际的人，善相处的人|【辨析】outing n.短途旅游，远足；【谐音】外勾引(outgoing)"：外向的人喜欢与人交往，也形容想要离职的人。
injury|n. （身体的）损害；（感情等的）受伤|He died from serious injuries .|他因重伤去世了。||【辨析】injure  v.使受伤，弄伤；inquiry n.询问，疑问；jury    n.陪审团；inquire v.调查，查究；【变形】复数形式：injuries
horizontal|adj. 水平的，横的|He put the ball on a horizontal surface to keep it from moving.|他把球放在水平面上，以防它滚动。|horizontal organisation structure 横向企业结枸；horizontal movement 水平运动；vertical line 垂直线；horizontal line 地平线|【辨析】horizon  n.地平线；oriental adj.东方（尤指中国和日本）的，东方人的；【谐音】红日(hori)总(zon)高(tal)"：太阳在地平线上，表示水平的。
