an|article. 一（个、件、场等）（用于元音前）|Allen has an evening job as private teacher.|艾伦晚上有一份家庭教师的工作。|turn over 营业额
largely|adv. 主要地，基本上；大致上|The team's success was largely due to her efforts.|该队的成功在很大程度上是由于她的努力。|consist largely 很大程度上；read largely 广泛阅读|【辨析】lately  adv.近来，最近；enlarge v.扩大，增大，放大；greatly adv.非常地，极大地；【谐音】垃圾里(largely)"：主要的都是垃圾。
blind|adj. 失明的；视而不见的；v. 使失明；使目眩；失去判断力|Doctors think he will go blind .|医生认为他将失明。|turn a blind eye 对什么什么故意视而不见；the blind date 介绍会面；go blind 変瞎；be blind to 不了解|【辨析】blank adj.空白的，空的；build v.建造，修建；bend  v.弯曲（身体关节）；bond  n.纽带，联系；【谐音】不亮的(blind)"：盲人的生活是不亮的。
marvellous|adj. 奇迹般的，了不起的|They have had a marvellous holiday.|他们度过了一个绝妙的假期。|marvellous journey 奇异之旅|【谐音】漫威乐死(marvellous)"：漫威电影让人兴奋不已，形容绝妙的，了不起的。
of|prep. 属于，关于|The picture illustrates the love of a mother for her child.|图片展示了母亲对孩子的爱。|out of order 无次序的，混乱的, 有毛病的, 出故障的
father|n. 父亲；祖先；创始人；上帝|You've been like a father to me.|你对我一直像父亲一样。||【辨析】feather n.羽毛；further adv.更远地，再往前地；【谐音】发热(father)"：看见父亲就紧张发热。
coal|n. 煤|I put more coal on the fire.|我往火里再加了些煤。|a shovel of coal 一铲煤|【辨析】cool   adj.凉的，凉爽的；goal   n.球门；cold   adj.冷的，凉的；coat   n.外套，大衣；coast  n.海岸，海滨；coach  n.教练；core   n.果核；code   n.密码，暗码；coke   n.可口可乐， 一瓶（罐，杯）可口可乐（Coke）；coin   n.硬币，金属货币；corn   n.谷物，谷粒；cost   n.价钱，费用；crop   n.庄稼；goat   n.山羊；curly  adj.（头发）卷曲的，鬈曲的；catch  v.接住；corner n.角；click  v.（用鼠标）点击；【谐音】抠(coal)"：煤炭是从地下一点一点抠出来的。
punishment|n. 惩罚，处罚|Officials convicted of corruption will receive tough punishment .|被判贪污罪的官员将受到严厉的处罚。||【辨析】punish v.处罚，惩罚（做错事或犯法的人）；【谐音】扑你是门(punishment)"：惩罚你是一门学问。
scratch|v. 划破；挠；n. 划伤；搔痒；刮擦的刺耳声|The dog scratched itself behind the ear.|狗用爪子挠挠耳后。|scratch off 随便写，草草地写；Start from scratch 从头开始；scratch the surface 杯水车薪；from scratch 从头开始|【辨析】stretch v.（使）变大，拉长；sketch  n.素描，速写，草图；script  n.剧本，讲稿；screw   n.螺丝（钉）
symbolical|adj. 象征性的；符号的|The power of the monarchy in Britain today is more symbolical than real.|今日英国君主的权力多为象征性的，无甚实际意义。||【谐音】森波里扣(symbolical)"：用符号来表达，具有象征性的。
tiny|adj. 极小的，微量的|Only a tiny minority hold such extreme views.|只有极少数人持这样极端的观点。||【辨析】tidy    adj.整洁的，有条理的；thin    adj.薄的，细的；destiny n.命运，定数；tight   adj.（衣物）紧身的，紧贴的；【谐音】太迷你(tiny)"：形容东西小得让人着迷。；【变形】比较级：tinier；最高级：tiniest
