doctor|n. 医生；博士|You'd better see a doctor about that cough.|你最好找医生治治你的咳嗽。|doctored the evidence 伪造证据|【谐音】刀开他(doctor)"：医生用手术刀给病人开刀。
predict|v. 预言，预告|Nobody could predict the outcome.|谁也无法预料结果如何。|weather forecast 天气预测，天气预报|【辨析】product    n.产品，制品；prediction n.预言之事，预报之事；project    n.项目，计划；protect    v.保护，防护；credit     n.信用，信贷，赊购；【谐音】提前(pre)递给(dict)"：预测他会需要。
indifference|n. 漠不关心；无动于衷|Whether you come or not is a matter of total indifference to me.|你来不来对我来说根本无关紧要。|apparent indifference 表面上的若无其事|【辨析】indifferent  adj.冷淡的，不关心的；independence n.独立，自主；【谐音】影帝夫人死(indifference)"：对死人漠不关心，不感兴趣。
adviser|n. 顾问，指导者|The boss and his financial adviser spent a whole day in meetings.|老板和他的财务顾问开了一整天的会。|financial adviser 财务顾问|【辨析】advisor n.顾问；【谐音】俺滴外甥(adviser)"：俺的外甥是个顾问。
tolerate|v. 忍受；容许|This sort of behaviour will not be tolerated .|这种行为是不能容许的。|tolerate --- tolerance 容许 --- 误差|【辨析】tolerant  adj.宽容的，容忍的；tolerance n.忍受，容忍；tolerable adj.尚好的，还可以的；torture   n.拷打，拷问，酷刑逼供；【谐音】托雷它(tolerate)"：托住雷神之锤，容忍它的重量。；【变形】现在分词：tolerating
last|adv. 最后；最近，上一次；n. 最后来的人（或事），仅剩下的部分；v. 持续；adj. 最后的；上一个的；仅剩下的；最不可能的|Did you see the talent show on TV last night?|你昨晚看电视上的选秀节目了吗？|In the last resort 大不了；last for 持续；延续 at last 最后；终于 last year 去年 in the last 在最后；[法]在终审时 at the last 直到最后；may not last 不会持久|【辨析】least   adj.一点儿；late    adj.晚期的，末期的；later   adv.后来，随后；lasting adj.持久的，耐久的；latter  adj.（两者之中的）后者的
brass|n. 黄铜（器）；铜管乐器|The frame of that picture was made of brass .|画框由黄铜制成。|brass band 军乐队; as bold as brass 大模大样的，粗鲁无礼的|【辨析】brace v.（使）作好准备
remember|v. 记得；想起；纪念|I don't remember my first day at school.|我已经忘了第一天上学（的情景）。|remember doing 记得做过的事 remember to do 记得去做；remember doing sth 记得做过的事情；remeber doing 记得做过某事；remember to do sth 记得去做某事|【辨析】member n.成员，一分子；【谐音】若慢播(remember)"：如果广播慢一点，就容易记住了。
rug|n. 小地毯；小毛毯|It is warm and comfortable in winter if you put a sheepskin rug on your wooden floor.|冬天里在木板上铺一块羊皮垫子，既温暖又舒适。|Bind the edge 镶边|【辨析】rag   n.抹布，破布；bug   n.<美>昆虫，虫子；mug   n.大杯，马克杯；tug   v.（用力地）拉，拖，拽；hug   v.拥抱；rub   v.擦，磨擦；shrug v.（表示不知道或不感兴趣）耸（肩）；plug  n.（电）插头；【谐音】褥搁(rug)"：把褥子铺在地上，就成了地毯。
apparent|adj. 显而易见的；表面上的|If she had inner doubts, it was not apparent to anyone else.|她若心中生疑亦不形之于色。||【辨析】apparently  adv.据说，显然；parent      n.父亲（或母亲）；transparent adj.透明的，清澈的；appear      v.出现，呈现；appearance  n.露面，演出；【谐音】鹅怕人的(apparent)"：鹅明显是怕人的。
schooling|n. 学校教育|The boy received little schooling , but he never gave up any chance to study.|这个男孩没受过什么教育，但他从不放弃任何学习的机会。||【辨析】school n.（中、小）学校；【谐音】事故零(schooling)"：学校教育的事故发生率为零。
