authorization|n. 授权，批准|You need special authorization to use this theater.|你需要特别授权才能使用这个剧院。||【辨析】authoritative adj.专断的，命令式的；authorize     v.批准，许可；【谐音】贼神(authorization)"：授权后就变得很厉害。
competent|adj. 有能力的，称职的|As a competent teacher, she knows perfectly the merits and shortcomings of her students.|作为一个有能力的老师，她对每个学生的优缺点了如指掌。|com pe tend 有能力的|【辨析】component   n.组成部份，成分，部件；competence  n.能力，胜任；compete     v.竞争，对抗；competitor  n.竞争者，对手；competition n.竞争；competitive adj.竞争的；contempt    n.轻视，蔑视；【谐音】肯扑腾特(competent)"：有能力的人肯努力。
play|v. 玩；演奏；播放；戏弄；发挥作用；扮演；n. 游戏；玩耍；戏剧；比赛；作用|You'll have to play inside today.|你今天只能在屋里玩耍。|play off 加赛，取笑，互斗；play a joke on 和--开玩笑|【辨析】plan   n.（详细）规划；player n.运动员，选手
whisper|v. 耳语；秘密告诉；沙沙作响；n. 耳语；轻柔的声音；传言|The children were whispering in the corner.|孩子们正在角落里低声耳语。|being whispered 在流传；heard a whisper 听到一个传闻；in a whisper 小声说|【辨析】whistle n.哨子；whisky  n.威士忌酒；whip    n.鞭子，皮鞭；worship v.敬奉（神）
weed|n. 杂草；水草；v. 除草|The yard was overgrown with weeds .|这座庭院杂草丛生。||【辨析】feed   v.饲养，喂养，为……提供食物；seed   n.种子，籽；need   v.需要；deed   n.行为，行动；week   n.星期，周；weep   v.（通常因悲伤）哭泣，流泪；bleed  v.流血，出血；speed  n.（运动）速度；breed  v.交配繁殖；sweep  v.打扫，清除；indeed adv.确实，的确；【谐音】喂的(weed)"：给羊喂的是杂草、野草。
now|adv. 现在；马上；这样一来；然而；conj. 既然，由于|Now it's time for you to open your heart.|现在是你敞开心扉的时候了。|Just now 刚才；the now aging dictator 现在正在衰老下去的独裁者；National Organization of Women 全国妇女组织|【辨析】new      adj.新出现的，新兴的；cow      n.母牛，奶牛；bow      v.鞠躬，点头；how      adv.怎样，如何；sow      v.播种，种；low      adj.低的，矮的；row      n.一排，一行；know     v.知道；nowadays adv.如今，现在；【谐音】闹(now)"：现在正在发生。
visa|n. 签证|His visitor's visa will expire in a week.|他的旅游签证将在一周后过期。|an entry visa 入境签证 ; an exit visa 出境签证；visa application 签证申请；student visa 学生签证|【辨析】visit v.参观，游览；via   prep.经由，经过（某一地方）；vice  n.堕落，邪恶；vase  n.花瓶，（装饰用的）瓶；vast  adj.巨大的，广大的；【谐音】为撒(visa)"：不出国为什么要签证？
bore|v. 使…厌烦|He bored us all by talking for hours about his new house.|他连续几个小时大谈他的新房子，使我们大家都厌烦透了。|bear the burden of 承受…的后果；bore into 盯着看；钻穿：；bear someone a grudge 对某人心怀怨恨；bear fruit 实现：得出满意的结论或实现愿望|【辨析】bare   adj.赤裸的；bored  adj.无聊的，厌倦的；born   adj.天生的，生来就有的；boring adj.令人厌烦的；bear   v.手持，携带
resumption|n. 重新开始，恢复|The people of both countries are hoping for an early resumption of free trade.|两国人民都希望早日恢复自由贸易。||【辨析】assumption   n.假定，假设；consumption  n.消费，消耗；interruption n.打断，插嘴；resume       v.恢复（职位），回到（座位）
difficulty|n. 困难，难度|Many students would run into difficulties with learning mathematics.|许多学生在学习数学时会遇到困难。||【辨析】difficult  adj.困难的，费力的；different  adj.不同的；difference n.差异，不同之处；【谐音】弟非抠题(difficulty)"：弟弟学习认真，要把困难的题一个个弄懂。；【变形】复数形式：difficulties
napkin|n. 餐巾（纸）|He made a rose with a paper napkin .|他用纸巾折了朵玫瑰。|in a napkin 才华被埋没|【辨析】nap     n.（尤指在白天）小睡，打盹；pumpkin n.南瓜，倭瓜；【谐音】男不肯(napkin)"：男侍应不肯折叠餐巾。
lap|n. 大腿部；（跑道）一圈|She sat with her hands in her lap .|她双手放在大腿上坐着。|lap up 热切地接受，欣然接受；on one's lap 膝蓋上；lap dog 哈巴狗；in someone's lap 作为某人的职任；lap top - laptop 手提电脑，估计也是这样来的，手提电脑可以放在大腿上面使用，方便而轻便，于是。。。|【辨析】lip    n.嘴唇；clap   v.拍手，鼓掌；laptop n.膝上型计算机，便携式电脑（=laptop computer）；【变形】过去式：lapped；过去分词：lapped；现在分词：lapping
merriment|n. 欢乐，嬉戏|His eyes sparkled with merriment when he was speaking.|他说话时眼睛里闪烁着欢乐的光芒。||【辨析】merit    n.优秀品质，价值；maritime adj.海上的，海事的；merry    adj.<旧>愉快的，高兴的
trousers|n. 裤子|I need a new pair of trousers to go with this shirt.|我需要一条新裤子来配这件衬衫。||【辨析】tourist  n.旅行者，观光客；treasure n.金银财宝，珠宝，财富；【谐音】穿啥子(trousers)"：去正式场合我要穿啥子裤子好。
prevalence|n. 流行，普遍|Doctors are concerned about the prevalence of obesity.|医生们对肥胖的流行感到担忧。||【辨析】prevalent  adj.盛行的，普遍的；permanence n.永久（性），持久（性）；prevail    v.流行，盛行；prevailing adj.现存的，存在的；prevention n.预防，防止；【谐音】怕我冷死(prevalence)"：给我带来今年最流行、盛行的防寒衣。相关词：prevalent（流行的，盛行的），pervasive（遍布的）。
conscience|n. 良心，良知；内疚|He helped the stranger for reasons of conscience .|他为了良心好过而帮助了那位陌生人。|on one's conscience 令人感到内疚；受到良心谴责|【辨析】conscious     adj.意识到的；conscientious adj.认真的，勤勤恳恳的；consensus     n.一致看法，共识；consciousness n.知觉，清醒；【谐音】看神死(conscience)"：你还有没有良心！
fireplace|n. 壁炉|Every room in the house has a fireplace .|每个房间都有一个壁炉。||【辨析】furnace n.火炉，熔炉；【谐音】火(fire)地方(place)"：烧火的地方，即壁炉或火炉。
mist|n. 薄雾，水汽；液体喷雾|Everything was covered in mist .|一切都笼罩在雾霭中。|mist --- misty 神秘的|【辨析】fist  n.拳，拳头；list  n.列表，清单；moist adj.潮润的，微湿的
renovation|n. 翻新|The cinema is closed for renovation .|电影院因翻修而关闭。||【辨析】innovation n.新事物，新方法；revolution n.（思想、工作方式等的）彻底变革；renovate   v.修复，翻新（尤指建筑物）；【谐音】软了为甚(renovation)"：软弱无力了，需要修复才行。
gun|n. 枪|He raised his gun and fired at the great beast.|他举起枪朝巨兽射去。|gun for 竭力争取；gun for sth 竭力争取；jut out 伸出|【辨析】sun n.太阳（the sun）；run v.奔跑；guy n.<非正式>男人，家伙；gym n.体育馆，健身房
invite|v. 邀请，请求；招致；n. 邀请，请柬|Have you been invited to their party?|你接到参加他们的聚会的邀请了吗？||【辨析】inviting   adj.诱人的，吸引人的；invent     v.发明，创造；invest     v.投资；invitation n.邀请；【变形】现在分词：inviting
remember|v. 记得；想起；纪念|I don't remember my first day at school.|我已经忘了第一天上学（的情景）。|remember doing 记得做过的事 remember to do 记得去做；remember doing sth 记得做过的事情；remeber doing 记得做过某事；remember to do sth 记得去做某事|【辨析】member n.成员，一分子；【谐音】若慢播(remember)"：如果广播慢一点，就容易记住了。
magic|adj. 神奇的；有魔力的；n. 魔法；魔力|Do you believe in magic ?|你相信巫术吗？|by magic 像施了魔法似的|【辨析】comic   adj.滑稽的，好笑的；image   n.形象，印象；imagine v.想像，设想；【谐音】买杰克(magic)"：是一个魔术表演。
kid|n. 小孩；v. 开玩笑|A bunch of kids were hanging around outside.|一群年轻人在外面到处游逛。|no kidding 说真的，不要开玩笑；no kid 不要孩子；不开玩笑|【辨析】kind n.种类；kit  n.成套工具，成套设备；kite n.风筝；【变形】过去式：kidded；过去分词：kidded；现在分词：kidding
