anticipate|v. 预料；预见；期盼|Nobody could have anticipated the result of the game.|没人能预料到比赛的结果。|resistance to 拒绝|【辨析】anticipation n.预期，预料；participate  v.参加，参与；appreciate   v.欣赏，鉴赏；【变形】现在分词：anticipating
agent|n. 代理人；经纪人；特工；（药）剂|He worked as an insurance agent for over ten years.|他已经做了十多年的保险代理人。|secret agent 特工人员；特务；间谍|【辨析】agency n.代理行，经销处；urgent adj.紧急的，急迫的；agenda n.待议事项，议事日程；【谐音】爱整他(agent)"：代理商们都爱整他。
curl|v. （使）卷曲；蜷缩；（使）缠绕；n. 卷发；（头发）卷曲|Her hair curls naturally.|她的头发自然卷。|curl up 直不起腰；难为情；make sb curl up 使某人直不起腰来，使难为情|【辨析】curly adj.（头发）卷曲的，鬈曲的；curve n.曲线，弧线；curb  v.控制，抑制；hurl  v.猛扔，猛摔；cult  n.异教，异教组织；coil  n.（绳或线等的）卷，匝；carve v.雕，刻；cave  n.洞穴，山洞；【谐音】可儿(curl)"：天冷时，小可儿会卷曲、蜷缩起来。
assumption|n. 臆断，假设；担任（职责等）|Their assumptions of an air of confidence fooled nobody.|他们装出信心十足的样子却欺骗不了任何人。|on the assumption that 假定|【辨析】resumption  n.<正式>重新开始，恢复；consumption n.消费，消耗；assume      v.假定，假设，认为；【谐音】爱伤不深(assumption)"：这只是一个假设。
solution|n. 解决方法；答案；溶解；溶液|Boosting tourism will provide a long-term solution to the city's employment problems.|促进旅游业将为解决该市就业问题提供一个长远的解决办法。||【辨析】resolution n.决议，正式决定；solve      v.解决，处理；【谐音】思路深(solution)"：深谋远虑的人往往能找到解决办法或溶液。
cue|n. 提示；线索|They started washing up, so that was our cue to leave.|他们开始洗刷碗碟了，这就是在暗示我们该离开了。|on cue 正好此时 take one's cue from 学。。。的样子 听。。。的劝告|【辨析】cure n.药物，疗法；sue  v.控告，对……提起诉讼（尤指要求赔偿）；due  adj.到期的，预期的；clue n.线索，提示；【谐音】Q(cue)我一下"：提醒我一下。
quote|v. 引用；举例说明；指出出处；报价；n. 引语；引号|He quoted a passage from the president's speech.|他引用了总统演讲中的一段讲话。|be quoted in 被引述；quote something for 报价；quote from 引用|【辨析】quite adv.相当，很；quota n.定额，限额；【谐音】括它(quote)"：把它括起来，就是引用、引文。；【变形】现在分词：quoting
qualitative|adj. 定性的；质量的|There are qualitative differences between individuals.|个体之间有着质的差别。|Qualitative analysis 定性分析；qualitative change 性质变了|【辨析】quantitative  adj.数量的，量化的，定量的；qualified     adj.具备……的学历（资历）的；qualification n.（通过考试或学习课程取得的）资格，学历；qualify       v.（使）有权去做；【谐音】可乐TTV(qualitative)"：看电视喝可乐是种定性的习惯。
metric|adj. 公制的，米制的；；n. 衡量系统|Most high-tech industries have been using the metric system for decades.|大多数的高科技产业已经采用了几十年的米制。|metric ton 公吨；metre n 米公尺|【辨析】metro n.（尤指法国的）地铁，地铁系统；merit n.优秀品质，价值；【谐音】没缺刻度(metric)"：刻度齐全的公制测量系统。
gesture|n. 手势；示意动作；姿态；v. 打手势；用动作示意|They communicated entirely by gesture .|他们完全通过手势来交流。|face gesture 面部表情；guesture language 手语|【辨析】feature   n.特点，特征；guest     n.客人；signature n.签名，署名；【谐音】爵士雀(gesture)"：打个手势，麻雀就跳爵士舞。
mastery|n. 熟练掌握；控制，驾驭|He shows mastery of the basic rules of grammar.|他掌握了基本的语法规则。|master vt 控制，掌握，精通|【辨析】misery      n.痛苦，苦难；majesty     n.雄伟，壮丽，威严；masterpiece n.代表作，杰作；maneuver    n.细致巧妙的移动，机动动作；【谐音】骂死特瑞(mastery)"：教练严厉训练特瑞，目的是让他精通技能。
