eventual|adj. 最后的，最终的|It is impossible to predict what the eventual outcome will be.|无法预测最终结果。||【辨析】eventful   adj.充满大事的，多变故的；eventually adv.最终，结果；event      n.事件，大事；【谐音】一碗酒(eventual)"：最终的一碗酒。
cyclist|n. 骑自行车的人|He was a keen cyclist and had a specially customized bicycle.|他是个狂热的骑行者，并且有自己特殊定制的自行车。||【辨析】cycling n.骑自行车；cycle   n.自行车，摩托车；【谐音】塞可丽斯特(cyclist)"：一位骑自行车的人。
factory|n. 工厂，制造厂|This factory creates lots of jobs for local people.|这家工厂为当地人创造了大量的工作。||【辨析】factor   n.因素，要素；fact     n.事实，真相；facility n.设施，设备；fiction  n.小说；【谐音】法克特累(factory)"：他在工厂工作特别累。；【变形】复数形式：factories
careless|adj. 粗心的|It was careless of him to forget the keys.|他忘带钥匙了，真是粗心。||【辨析】regardless adv.不顾，不加理会；careful    adj.仔细的，小心的；care       n.照料，护理；【谐音】开了厮(careless)"：这厮干活粗心大意，开了吧。(care照顾+less否定=没有照顾好)
budget|n. 预算；专款；v. 制定预算；adj. 廉价的|Congress has approved the new educational budget .|国会通过了新的教育预算。|budget deficit 预算赤字；on a budget 避免不必要的开支，节省费用；a budget traveller 穷游者；national budget 国家预算；budget revenue 预算收入|【辨析】gadget n.小器具，小玩意儿；badge  n.徽章，奖章；bud    n.芽，花蕾；burden n.负担，责任；【谐音】巴结他(budget)"：只有巴结他才能增加预算。
horizon|n. 地平线；眼界|The sun sank below the horizon .|太阳落到了地平线下。|broaden one's horizons 开拓某人视野；on the horizon 在地平线上；即将到来|【辨析】horizontal adj.水平的；【谐音】红(ho)日(ri)地带(zon)"：红日升起的地带，即地平线。
fuss|n. 大惊小怪；瞎操心；v. （为小事）烦恼；过分关心|People are making too big a fuss about something of small impact.|人们对一些小事大惊小怪。|make a fuss 小题大做 大惊小怪|【辨析】fuse   n.保险丝，熔丝；fossil n.化石；【谐音】发丝(fuss)"：发丝大小的事不值得大惊小怪。；【变形】复数形式：fusses
baggage|n. 行李；（思想）包袱|Check the baggage before your trip, and make sure everything you need is in it.|旅行前先检查好你的行李，确保你需要的东西都在里面。||【辨析】bandage  n.绷带；luggage  n.行李；language n.语言，语言文字；badge    n.徽章，奖章；cabbage  n.卷心菜，洋白菜；sausage  n.香肠，腊肠；garbage  n.<美>垃圾，废物；garage   n.车库；【谐音】白给寄(baggage)"：行李不是白给你寄的。
dish|n. 碟；一道菜；盘状物|He ate a dish of spaghetti.|他吃了一盘意大利面条。|dish up 上菜；提供，供给|【辨析】disk n.（计算机的）磁盘，磁碟；dash v.猛冲，急奔；【谐音】得洗(dish)"：吃完了菜肴要洗盘子。
false|adj. 错误的；人造的；伪造的|A whale is a fish. True or false ?|鲸鱼是鱼，对还是错？||【辨析】fall    v.降落，落下；fail    v.失败；fake    adj.伪造的，冒充的；fault   n.错误；failure n.失败；faulty  adj.有故障的，有缺陷的；【谐音】否事(FALSE)"：否定的事情是虚假的、错误的。(true 真，false 假)
alone|adj. 独自；单独；仅仅；adv. 独自，仅仅|I don't like going out alone at night.|我不喜欢夜晚单独外出。|let alone 更不必说；leave alone 不管 let alone 更不用说 let well alone 不要画蛇添足 stand alone in 在···方面独一无二；alone with 与...一起|【辨析】along  prep.沿着，顺着；lonely adj.孤单的，寂寞的；【谐音】啊～狼(alone)"：狼总是孤独的。
ready|adj. 准备好的；已完成；愿意的；即将的；adv. 已完成；v. （使）准备好|I'm just getting the kids ready for school.|我正在让孩子们准备好去上学。||【辨析】read    v.阅读，读懂；really  adv.真正地，事实上；already adv.已经，早已；【谐音】月底了(ready)"：月底到了，我已经准备好了。；【变形】过去式：readied；过去分词：readied
visitor|n. 游客；来访者|There has been a steady increase in the number of visitors to the museum.|参观博物馆的人数一直在稳步增加。|frequent visitor 熟客|【辨析】visit v.参观，游览；【谐音】围着他(visitor)"：参观者总是围着他转。
defiant|adj. 公然违抗的，蔑视的|The demonstrators blocking the city hall remained defiant this morning.|堵在市政府门外的示威者们今天早晨依然持挑衅态度。||【辨析】defiance n.违抗，蔑视；define   v.给……下定义，解释；defend   v.保卫，防御；defense  n.防御，保卫；defy     v.违抗，不服从；defer    v.延期，推迟；faint    adj.模糊的，微弱的；deny     v.否认；【谐音】弟反按他(defiant)"：弟弟反抗被按住，表现得不顺从。
university|n. 大学|Is there a university in this town?|这座城市有没有大学？|college - 大学。|【辨析】universal adj.普遍的，全体的，全世界的；universe  n.宇宙，天地万物（the universe）；【变形】复数形式：universities
sit|v. 坐；坐落在|May I sit here?|我可以坐在这儿吗？||【辨析】set     v.放，置；site    n.（建筑的）工地，用地；seat    n.座位；sitting n.坐着（做某事）的一段时间；【谐音】赛特(sit)"：赛特坐下了。；【变形】过去式：sat；过去分词：sat；现在分词：sitting
fame|n. 声誉，名望|The novel helped him achieve instant fame .|这部小说助他一夜成名。|The fame 是LadyGaga的专辑|【辨析】fake   adj.伪造的，冒充的；fate   n.命运；fade   v.逐渐消失；famine n.饥荒，饥馑；tame   adj.驯服的，不怕人的；lame   adj.瘸的，跛的，残疾的；flame  n.火焰，火舌；frame  n.框架，边框；famous adj.著名的，出名的；【谐音】废木(fame)"：这个称呼对名声、名誉可不好。
doctorate|n. 博士学位|The university gave her an honorary doctorate in May 1998.|这所大学于1998年5月授予了她荣誉博士学位。|do one's doctorate 读博|【辨析】doctoral adj.博士的，博士学位的；decorate v.装饰，装点；doctrine n.教义，主义，信条；【谐音】医生(doctor)吃(ate)"：医生的博士学位很吃香。
then|adv. 当时，到那时；然后|Life was harder then because neither of us had a job.|那时生活比较艰苦，因为我俩都没有工作。||【辨析】than conj.（用以引出比较的第二部分）比；when adv.什么时候；【谐音】人呢(then)"：然后呢？人跑哪去了？
quarrel|n. 争吵；v. 争吵|The children quarrel all the time.|孩子们总在吵架。||【辨析】quarter  n.四分之一；barrel   n.桶；squirrel n.松鼠；square   adj.正方形的，四方形的；qualify  v.（使）有权去做；equal    adj.（在数量、大小、程度、价值方面）相等的，相同的；【谐音】块儿肉(quarrel)"：他们为了块儿肉争吵。；【变形】过去式：quarreled/quarrelled；过去分词：quarreled/quarrelled
wit|n. 智力；明智；风趣|He used his wit to pass the audition for a role in the comedy play.|他运用才智通过了这部喜剧的一个角色的试镜。|wit n 智力；才智；智慧|【辨析】wet     adj.湿的，潮湿的；wait    v.等候；witty   adj.风趣的，诙谐的，机智的；wise    adj.（行为或决定）明智的，高明的；knit    v.编织，针织；witness n.（尤指犯罪或事故的）目击者；【谐音】维他(wit)"：吃多了维他命就会很有智慧。
fool|n. 傻瓜，蠢人；v. 愚弄，欺骗；adj. 傻的，愚蠢的|I felt a fool when I realized my mistake.|我意识到了自己的错误，觉得自己是个傻瓜。|fool around 闲荡，游手好闲。|【辨析】tool    n.（尤指手用）工具；pool    n.游泳池；foot    n.脚，足；food    n.（植物生长的）养料；wool    n.羊毛，动物毛；foolish adj.愚蠢的，傻的；floor   n.（房间的）地板，地面
candle|n. 蜡烛|We had to light candles because of the sudden power failure.|由于突然断电，我们只能点蜡烛来照亮。|not worth the candle 得不偿失|【辨析】handle v.拿；candy  n.糖果，巧克力；canal  n.运河，灌溉渠，水道；cancel v.取消（计划好的事情）；cancer n.癌症；crayon n.彩色粉笔（或炭笔、蜡笔）；【谐音】看到(candle)"：用蜡烛可以看到东西。
messenger|n. 信使；通信员|Those confidential documents should be delivered by special messengers appointed by the government.|这些机密文件应当由政府专门指派的信使派送。||【谐音】卖信者(messenger)"：传递消息的人。
voluminous|adj. 篇幅长的；容积大的；（衣服）宽松的|She swathed herself in a voluminous cloak.|她把自己裹在一件宽大的斗篷里。||【辨析】luminous adj.夜光的，发亮的；volume   n.体积，容积；【谐音】我摞么那书(voluminous)"：把体积庞大的、卷数多的书摞在一起。
act|v. 行动；举止；扮演；有作用；n. 行为；法案；假装；（戏剧的）一幕|He knew he had to act quickly.|他知道自己必须快速行动。|act on 奉行，按照…行动；act as 扮演|【辨析】actor    n.演员；art      n.美术，艺术；react    v.（作出）反应；active   adj.好动的；action   n.行动；actual   adj.真实的，实际的，现实的；actress  n.女演员；activity n.活跃状况，热闹；【谐音】爱看他(act)"：喜欢看他表演、行动。
country|n. 国家；乡下；区域；adj. 祖国的，家乡的，地方的|You can travel many European countries in a week.|一周内你就可以游历很多欧洲国家。|profit from 从……获利；reform n v 改革|【辨析】county      n.（英国、爱尔兰的）郡，（美国的）县；countryside n.乡村，农村；contrary    adj.相反的，相对的；century     n.世纪；【谐音】扛锤(country)"：村里人扛着锤子进城建设国家，也指乡村。；【变形】复数形式：countries
famine|n. 饥荒|Many people in Africa are suffering from famine and infectious diseases.|许多非洲人民正在遭受饥荒和传染病之苦。||【辨析】fame     n.名誉，名气；feminine adj.女性特有的，女子气的；female   adj.女性的，妇女的；【谐音】发米呢(fa-mi-ne)"：闹饥荒时发放大米。
live|v. 居住；生存；过…样的日子；adv. 现场直播地；adj. 活的；现场直播的|They used to live in Australia.|他们过去住在澳大利亚。|live for 为。。。而生活；live up to 不辜负；符合（期望）；遵守；live on 指生活所依靠的对象，如靠父母，工资等；live by 指靠某种手段或方法生活，如 live by one' s hands 靠双手生活；live by begging 靠乞讨生活。；live through 从...存活下来；live with 与。。。一起生活；忍受|【辨析】life    n.寿命，一生；lively  adj.活泼的，生气勃勃的；alive   adj.活着的；living  adj.活着的，活的；deliver v.投递，运送；【谐音】累(v)(live)"：生活确实很累。；【变形】现在分词：living
cancer|n. 癌，癌症；（社会）毒瘤|People who smoke are more likely to suffer from lung cancer .|抽烟的人更可能受肺癌之苦。|the tropic of cancer 北回归线；be afflicted with 受折磨，受苦|【辨析】center  n.（地理位置）中间，中心点；cancel  v.取消（计划好的事情）；concern n.担心，忧虑；career  n.职业，事业；corner  n.角；candle  n.蜡烛；candy   n.糖果，巧克力；camel   n.骆驼
