cut|v. 切割；剪裁；削减；停止做；n. 伤口；削减|She cut her finger on a piece of glass.|一块玻璃把她的手指头划破了。|cut a class 旷课；a cut above 高…一等，比…强些；超出（能力等）；make the cut 过关，入选|【辨析】cat     n.猫，猫科动物；cup     n.杯子；cutting n.剪报；chop    v.剁，砍，劈；【变形】过去式：cut；过去分词：cut；现在分词：cutting
how|adv. 如何，怎样；多么；以任何方式|How does it work?|它运转得怎么样？|and how 正确；非常|【谐音】好(how)"：如何去做。
barely|adv. 刚刚；勉强；几乎不|She was barely recognizable as the girl I had known at school.|我几乎认不出她就是我上学时认识的那个女孩儿.||【辨析】rarely   adv.罕有，很少；bare     adj.赤裸的；merely   adv.仅仅，只（用于强调某物小或微不足道）；hardly   adv.几乎不，几乎没有；scarcely adv.勉强，几乎不；rare     adj.少见的，不常发生的；【谐音】巴黎(barely)"：我太穷了，几乎不可能去巴黎旅游。
pretty|adv. 相当，很；adj. 漂亮的|The game was pretty good.|这个游戏相当不错。|pretty much 非常，几乎|【辨析】plenty n.富裕，充裕；pity   n.同情，怜悯；【谐音】菩提(pretty)"：这串菩提盘看起来相当漂亮。；【变形】比较级：prettier；最高级：prettiest
breakdown|n. 故障；（关系）破裂；崩溃|Both ​sides ​were blamed for the breakdown of ​talks.|双方对谈判的破裂都有责任。|mental breakdown 精神崩溃|【辨析】breakthrough n.突破，重大进展
sing|v. 唱（歌）|I just can't sing in tune!|我一唱就走调！|singing a song 唱一首歌；sing a song 唱歌|【辨析】song     n.歌，歌曲；sin      n.（违背宗教或道德的）罪，罪恶；wing     n.（鸟、昆虫或蝙蝠的）翅膀，翼；king     n.君主，国王；sink     v.下沉，沉没；single   adj.单一的，单个的；thing    n.东西，物；singular adj.单数的，单数形式的；boring   adj.令人厌烦的；【谐音】兴(sing)"：我很高兴，所以我要唱歌。；【变形】过去式：sang；过去分词：sung
handsome|adj. 英俊的，漂亮的；数量大的；优厚的|The handsome prince was cursed and became a frog.|英俊的王子被诅咒的，变成了青蛙。|handsome salary 可观的薪水；a handsome margin 大幅度；a handsome reward 一笔可观的报酬参见|【谐音】汉森(handsome)"：汉森这个人很英俊帅气。；【变形】比较级：handsomer；最高级：handsomest
radar|n. 雷达|The aircraft covered with a high-tech material is hard to monitor by radar .|这架涂有高科技材料的飞机很难被雷达探测到。|operate under the radar 谦逊地行动，不引人注目地行动 [ra(dio) d(etecting) a(nd) r(anging)的缩略]|【辨析】razor  n.剃（须）刀，刮胡刀；render v.使成为，使处于某种状态；【谐音】雷达(radar)"：谐音联想，表示雷达。
burn|v. 燃烧；烧毁；晒伤；n. 烧伤；燃烧|A welcoming fire was burning in the fireplace.|壁炉里燃烧着暖融融的炉火。|burned or burnt 过去式和过去分词；burn out 烧起来,烧光,烧尽,耗尽=burn up；烧断,烧坏,(因过度使用)损坏；(因燃料耗尽)熄灭；放火把…赶出,(be burnt out)因着火被迫逃出来；burn away 烧掉；继续燃烧；逐渐消失；burn off 驱散；burn with an ambition 野心勃勃|【辨析】turn  v.使旋转，使转动；born  adj.天生的，生来就有的；burnt adj.烧坏的，烧伤的；bury  v.埋，埋葬；burst v.爆炸，爆裂，胀开；bush  n.灌木，灌木丛；【谐音】笨(burn)"：笨手笨脚把手烧伤了。；【变形】过去式：burned/burnt；过去分词：burned/burnt
motherly|adj. 慈母般的，母亲的|Her motherly kindness attaches us all to her.|她像母亲一般仁慈，我们大家都很依恋她。|Motherly love 母爱|【辨析】fatherly adj.父亲般的，慈父般的；maternal adj.慈母般的
armament|n. 武装；战备；武器|The armament of any of the great power can destroy civilization.|任何大国的军事力量都能摧毁文明世界。|armament competition 军备竞赛|【辨析】ornament n.装饰品，点缀品；armour   n.盔甲
into|prep. 到…里；深入…之中；成为…状态；朝，向|She dived into the water.|她潜入水中。|develop into 发展成为，变成；broke into 闯入|【辨析】onto   prep.到……之上，向……之上，到，朝；with   prep.和……在一起；inside n.内部，内侧；【谐音】阴土(into)"：进入阴暗的土地。
climatic|adj. 气候的|The climatic change affects people's lives directly.|气候变换直接影响到人们的生活。||【辨析】climate   n.气候；clinic    n.诊所，门诊部；culminate v.（以……）结束，告终；【谐音】可来(cli-ma-tic)"：气候不错，所以你可以来，形容气候的。
confucianism|n. 儒教，孔子学说|Confucianism focuses on the importance of personal ethics and morality.|儒教着重强调个人伦理和道德。
contented|adj. 满意的，满足的|There was a contented smile on his face after reading the report.|他看了报告后露出了满意的笑容。|be content with 以…为满足|【辨析】consent     n.许可，允许；contention  n.看法，观点；content     adj.满足的，满意的，甘愿的；contend     v.声称，主张；contentious adj.有争议的，引起争论的；convention  n.习俗，惯例
colon|n. 结肠；冒号|Even today, there are millions of deaths from colon cancer every year.|即使在今天，每年仍有数百万人死于结肠癌。|double quotes 双引号|【辨析】colony   n.殖民地；colonel  n.（陆军、空军或海军陆战队）上校；colonial adj.殖民地的，殖民主义的；【谐音】窟窿(colon)"：冒号的两个点像两个窟窿，指冒号。
football|n. （英）足球；（美）橄榄球|Football has been a very popular sport all over the world.|足球一直是全世界非常受欢迎的运动。||【辨析】baseball n.棒球；【谐音】福特伯(football)"：老伯伯来踢足球了！
dental|adj. 牙齿的，牙科的|As living standards rise, people are more aware of their dental health.|随着生活水平的提高，人们对牙齿健康越发关注了。|dental caps 牙套|【辨析】dent    v.使产生凹痕；denial  n.否认；mental  adj.存在于大脑中的，思考的；dense   adj.稠密的；density n.稠密，密集；deny    v.否认；eternal adj.永恒的，永存的；fatal   adj.致命的；delay   v.推迟，延期；destiny n.命运，定数；【谐音】灯头(dental)"：牙科医生拿着灯头照。
faulty|adj. 有缺陷的，不完美的|I asked for a refund because the computer I bought was faulty .|我要求退款，因为我买的电脑老出故障。|faulty goods 次货，次品，缺陷产品|【辨析】fault    n.错误；faculty  n.机能；facility n.设施，设备；default  n.不履行，违约；【谐音】否他(faulty)"：否定他是因为他有缺点的，有缺陷的。
friend|n. 朋友|This is my friend Tom.|这是我的朋友汤姆。|bosom friend 知心朋友 ----- intimate friend 密友|【辨析】friendly   adj.亲切的，友善的；friendship n.友谊，朋友关系；【谐音】福软的(friend)"：朋友如福气般温软。
provincial|adj. 省的；都城以外的；守旧的|He speaks with a provincial accent.|他说话带有地方口音。|provincial and municipal government 省政府和市政府；provincial university 除了剑桥,牛津以外的其他大学|【辨析】principal adj.最重要的，首要的；【谐音】破外省(provincial)"：指外省的或地方的。；【变形】s.
negate|v. 否定；取消，使无效|She lied about her work experience, which negated the contract.|她在自己的工作经历问题上说了谎，导致了合同失效。||【辨析】negation  n.否认，拒绝；negotiate v.（尤指在商业或政治上）谈判，磋商，洽谈；neglect   v.疏于照顾，未予看管；【谐音】你给的(negate)"：我都不要，表示否定。；【变形】现在分词：negating
conqueror|n. 征服者，占领者|The conqueror tried to make the natives abandon their religion.|征服者试图让当地人放弃他们的宗教。||【辨析】conquer  v.占领，攻克，征服；conquest n.征服，占领；【谐音】抗可热(conqueror)"：抵抗征服者需要用到大量体力会很热。
song|n. 歌曲；歌唱|We sang a song together.|我们一起唱了一首歌。|for a song 非常便宜地，廉价地；folk song 民歌 theme song 主题曲 torch song (悲伤的)情歌；original song 原创歌曲；swan song 传说中天鹅临终时的美妙歌声；[喻]the last performance or piece of work by an actor, athlete, writer, etc. 事业上最后的一次演出/讲话/比赛,绝笔等；stand on one's head 倒立|【辨析】sing   v.唱（歌），演唱；singer n.歌手，歌唱家；【谐音】送(song)"：送你一首歌。
constitution|n. 宪法；构造；组成；体质|The country's constitution embodies the ideas of freedom and equality.|这个国家的宪法体现了自由和平等的理想。|the Chinese Constitution 中国宪法|【辨析】constitute   v.组成，构成；construction n.建造，建筑；institution  n.机构，团体；composition  n.成分构成，成分
peaceful|adj. 宁静的；（爱好）和平的|They spent a peaceful night at the beach counting stars.|他们在沙滩上数着星星，度过了一个宁静的夜晚。||【辨析】peace   n.和平，太平；percent n.百分之……；pea     n.豌豆（粒）；pacific n.太平洋（the Pacific）；【谐音】屁事否(peaceful)"：没有烦心事，形容宁静的、和平的状态。
leather|n. 皮革（制品）|The jacket has leather fringes.|这件上衣饰有皮流苏。|leather goods 皮革制品；leather feather 皮毛|【辨析】feather n.羽毛；weather n.天气，气象；【谐音】来这(leather)"：来这里，要穿皮革。
milky|adj. 含奶的；乳白色的|A milky mist filled the city.|乳白色的薄雾弥漫了城市。|Milky Way Galaxy 银河系；milky way 银河|【辨析】silky adj.丝制的，丝绸的
may|mod. v. 可能；可以；（May）五月|He may have missed his train.|他可能没赶上火车。|may be 可能是
short|adj. 短的；个子矮的；短期的；缩写的；短缺的；adv. 缺少，不足，不及|He had short curly hair.|他有一头短鬈发。|fall short of sth 未达到；不符合；in short 简而言之，总之；short of 短缺，不足|【辨析】shout  vi.叫嚷，大声说；shirt  n.衬衫，恤衫；shoot  v.开（枪或其他武器）；shorts n.短裤；sort   n.种类，品种；shoe   n.鞋；skirt  n.女裙，半身裙
