refrigeration|n. 冷藏，冷冻|This product will go bad without refrigeration .|这个产品不冷藏就会变质。
July|n. 七月|I will graduate from the university in July .|我将于七月份从大学毕业。|on july ninth 七月九日
traffic|n. 交通，运输；路上行驶的车辆；非法买卖；流量；v. 从事非法买卖|There was heavy traffic at rush hour.|上下班高峰期，交通拥堵。|heavy traffic 繁重的交通；traffic lights 交通灯；passing traffic 人流量；traffic accident 交通事故|【变形】过去式：trafficked；过去分词：trafficked；现在分词：trafficking
carrot|n. 胡萝卜|Carrots are rich in vitamin A.|胡萝卜富含维生素A。|carrot and stick 软硬兼施的；胡萝卜棍棒并用的；peas and carrots 形影不离！！ Jenny and me was like peas and carrots|【辨析】carrier n.搬运人，运输工具；career  n.职业，事业；correct adj.正确的，无误的；【谐音】卡弱特(carrot)"：形状像胡萝卜。
permission|n. 批准；许可证|The school has been refused permission to expand.|学校扩充未得到许可。|without parental permission 未经父母同意|【辨析】admission n.承认，供认；promising adj.有希望的，有前途的；permit    v.批准，许可；【谐音】砰(per)miss(mission)"：砰的一下通过，就是批准。
blood|n. 血；血统，家世|Blood was pouring out of a cut on her head.|血不断地从她头上的伤口中涌出。|blood type 血型；make a blood test 验血；a drop of blood 一滴血|【辨析】flood v.（使）淹没；blond adj.（多指毛发）亚麻色的，金黄色的；bleed v.流血，出血；blind adj.失明的，盲的；floor n.（房间的）地板，地面
withstand|v. 经受住；顶住|This building is designed to withstand destructive earthquakes.|这幢大楼的设计让其可以扛住破坏性的地震。||【辨析】withdraw   v.提，取（银行账户中的钱款）；withhold   v.保留，隐瞒，扣留；withdrawal n.收回，撤回，停止；【谐音】为死担(withstand)"：抵抗困难。；【变形】过去式：withstood；过去分词：withstood
ferry|n. 渡船，摆渡；v. 渡运|The last ferry sails at 4 p.m.|最后一班渡船下午四点起航。|ferry vehicle 摆渡车|【辨析】berry  n.浆果，莓；furry  adj.覆盖毛皮的；merry  adj.<旧>愉快的，高兴的；fairy  n.仙子，小精灵；marry  v.结婚，嫁，娶；cherry n.樱桃；【谐音】浮力(ferry)"：靠浮力来渡船、摆渡、运送。；【变形】过去式：ferried；过去分词：ferried
optional|adj. 可以任选的，非强制的|I need to take three optional courses to get enough credits.|我需要上三门选修课才能获得足够的学分。|optional course 选修课；optional courses 选修课|【辨析】rational    adj.（想法、决定等）合理的，基于理性的；option      n.可选择的事物；operational adj.（机器、设备等）正常运转的，可使用的；opt         v.选择，作出抉择；【谐音】偶不选(optional)"：我可以选择别的，为什么选no？表示可选择的。
exit|n. 出口；退出；v. 退场；出去；退出|There is a fire exit on each floor of the building.|这栋建筑每层楼都有个消防通道。|exit visa 出境签证；fire exit 安全出口；take the exit 走紧急通道；exit the speech 退出演讲；the exit function 退出程序功能|【辨析】exile    n.流放；exist    v.存在，实际上有；exert    v.运用，施加（影响）；extinct  adj.灭绝的；existent adj.现存的，现有的；existing adj.现存的，现行的；【谐音】挨个塞他(exit)"：一个一个地把他们塞出去，即出口。
presidency|n. 总统（或主席）的职位（或任期）|That politician tried his best to run for the presidency .|那名政客为了竞选总统拼尽了全力。||【辨析】preside      v.主持，担任主持；precedent    n.先例，前例；presidential adj.与总统有关的；【变形】复数形式：presidencies
second|ord. 第二；det. 居第二位的；另外的；n. 秒；瞬间，片刻；adv. 以第二名；其次|Her popularity was once second to none.|她曾经的受欢迎程度无人能及。|be second to 除了……之外最重要的；second to none 不亚于；second to sth 次于|【辨析】seventh num.第七；【谐音】塞肯的(second)"：表示第二或秒。（minute分，hour小时，quarter一刻钟，first第一）
