gracious|adj. 和蔼的|Phil is most gracious to everyone.|菲尔对每个人都很亲切。|gracious in defeat 虽败犹荣；gracious gracious 亲切的 高尚的|【辨析】spacious adj.（房间或建筑物）宽敞的；glorious adj.光荣的，值得称道的；graceful adj.优美的，优雅的；generous adj.慷慨的，大方的；gorgeous adj.美丽动人的；grace    n.优美，优雅
veil|v. 遮掩；n. 面纱，面罩；n. 遮盖物；v. 戴面纱|She has got a veil over her long hair.|她用头巾包住长发。|veil evil 恶魔的面纱；veil one's contempt at 隐藏对他人的蔑视|【辨析】vein  n.静脉；evil  adj.恶毒的，邪恶的；vain  adj.虚荣的，自负的；devil n.魔鬼
circulation|n. 循环；n. 流通；n. 传播|The old coins have been withdrawn from circulation .|旧硬币已经收回不再流通了。|money in circulation 货币流通量；blood circulation 血液循环；out of circulation 不在应酬；circulate among 在…中流传|【辨析】calculation  n.计算，运算；circulate    v.（液体或气体）环流，循环；circular     adj.圆形的，环形的；circumstance n.条件，情况，环境；circuit      n.电路，回路；circus       n.马戏团，马戏演员；【谐音】thank you来生(circulation)"：今生来生无限循环，谢谢你，来生再见。
exploration|n. 探索；n. 考察；n. 研究|I looked forward to the exploration of their theories.|我期待他们的理论探索。|Arctic exploration 北极探险|【辨析】exploitation n.剥削，压榨；explosion    n.爆破，爆炸（声）；explore      v.探讨，探究；exhibition   n.展览，展出；exploit      v.剥削，压榨；【谐音】艾克斯破了水深(exploration)"：通过探索和勘测发现了水深。
spherical|adj. 球状的|The earth is spherical .|地球是球状的。||【辨析】sphere n.（活动、兴趣、专业知识的）范围，领域；【谐音】四百人口(spherical)"：四百人口住在哪里？地球上，球形的。
equality|n. 平等；n. 相同|The government should improve gender equality .|政府应当改善性别平等状况。|in equality of 均等|【辨析】equal      adj.（在数量、大小、程度、价值方面）相等的，相同的；quality    n.质量，品质；equator    n.赤道；quantity   n.量，数目；equivalent adj.等同的，等效的；equip      v.装备，配备；adequate   adj.足够的，适当的，合乎需要的；【谐音】一块来提(equality)"：大家平等，吃水一块来提。；【变形】复数形式：equalities
status|n. 身份，地位；n. 状况|They were granted refugee status .|他们获得了难民身份。||【辨析】state  n.状态，状况；statue n.（石或金属做的动物或人的）雕像
eliminate|v. 根除；v. 淘汰；v. 消灭；v. 不加考虑|Three suspects have been eliminated from this investigation.|此次调查排除了三名嫌犯。|elimination process 排除法 = exclusive method|【辨析】estimate    v.估计；elimination n.消除，排除；【谐音】一厘米内的(eliminate)"：在一厘米内排除、清除所有东西。；【变形】现在分词：eliminating
prejudice|n. 偏见，成见；v. 使抱偏见|She has a prejudice against modern music.|她对现代音乐怀有偏见。|class prejudice 阶级歧视；blind prejudice 盲目歧视|【辨析】preference n.偏爱，偏好；prefer     v.更喜爱，宁可；【变形】现在分词：prejudicing
delivery|n. 运送；n. 投递；n. 演讲方式，表演风格；n. 分娩；n. 供给|The store offers free delivery to my home.|这家商店可以免费送货到我家。|delivery date 交货日期；easy delivery 顺产；get delivery 进货|【辨析】deliver   v.投递，运送；lively    adj.活泼的，生气勃勃的；diversity n.多样性，多样化；live      v.生存，活着；【变形】复数形式：deliveries
critic|n. 批评者；n. 评论家|The musical film has been well received by the movie critics .|这部音乐电影受到各位影评人的好评。||【辨析】critical  adj.批判的，爱挑剔的；criticism n.批评，批判；criticise vt.批评；crisis    n.危机，紧要关头；credit    n.信用，信贷，赊购；【谐音】快踢开(critic)"：批评家来了。
optimistic|adj. 乐观（主义）的|Economists' optimistic view about the country's market has drawn many investments here.|经济学家们对该国市场的乐观看法吸引了不少投资。||【辨析】optimist    n.乐观主义者，乐天派；pessimistic adj.悲观的，悲观主义的；optimism    n.乐观；【谐音】我不提(op-ti-mis-tic) mistake"：我不提错误，我很乐观。
legislation|n. 立法；n. 法律，法规|The committee proposed that new legislation should be drafted.|委员会建议着手起草新法规。|pronounce on 对发表建议|【辨析】legislate   v.通过立法实施；legislator  n.立法者，立法委员；legislative adj.立法的；legitimate  adj.正当的，合理的；【谐音】来解释累神(legislation)"：来解释这些法规，神都会累的。
restrict|v. 限制；v. 约束|We restrict the number of students per class to 10.|我们将每个班的学生人数限定为10人。|be restrict to 被限制在某些范围|【辨析】restraint n.克制，抑制；strict    adj.要求严格的，严厉的；district  n.地区，区域
