loan|n. 贷款；n. 借出；v. 借出|Jeff’s loaned us his car for the weekend.|杰夫把车借给我们周末用。|bad loan 呆账|【辨析】lean v.（身体）倾斜；load n.负载，重荷；loaf n.一条，一块（面包）；lane n.（乡间）小路；line n.线，线条；lend v.借给，借出；【谐音】楼(loan)"：买楼需要贷款。
recognize|v. 承认；v. 辨别出；v. 赏识；v. 赞成|I recognized him as soon as he came in the room.|他一进屋我就认出了他。|in recognition of 承认…而；为酬谢，表彰|【辨析】recognition n.承认，接受；cognitive   adj.认识的，认知的；【谐音】瑞克哥(recognize) nice"：承认自己很好。；【变形】现在分词：recognizing
romance|n. 恋爱；n. 爱情故事；n. 浪漫|They made an attempt to keep the romance alive in their marriage.|他们试图让婚姻生活保持浪漫色彩。|reignite romance 再续前缘（重燃爱火）|【辨析】romantic adj.（人）浪漫的，有情调的；【谐音】罗曼史(romance)"：指传奇的爱情故事。；【变形】现在分词：romancing
vacation|n. 假期|He's having a long vacation abroad.|他在国外度长假。||【辨析】location n.地点，位置；vacant   adj.（地方）空着的，无人用的；occasion n.（某事发生的）时刻，时候；【谐音】为开心(vacation)"：我要度假为了开心！
wrap|v. 包裹；n. 包裹材料；n. 披肩，围巾；v. 覆盖|Can you wrap the Christmas presents for me?|你能帮我把圣诞礼物包起来吗？|wrap up 包起来 打包；wrap sb 抱住某人；wrap it up 打包；wrap a package 打包|【辨析】trap  n.（捕捉动物的）陷阱，网，夹子；swap  v.交换，交易；strap n.带子，皮带；whip  n.鞭子，皮鞭；wipe  v.（用布、手等）擦干净，抹掉；【谐音】rap(wrap)"：唱着rap的人包着头巾。；【变形】过去式：wrapped；过去分词：wrapped；现在分词：wrapping
weave|v. 编织；n. 编法，编制式样；v. 编纂；v. 编成；v. 迂回行进|She weaved a nice scarf this morning.|她今天早上织了条漂亮的围巾。||【辨析】waive  v.放弃（权利、要求等）；heave  v.用力举起，使劲拖；velvet n.天鹅绒，丝绒；【谐音】为我(weave)"：为我编织。；【变形】过去式：wove；过去分词：woven；现在分词：weaving
circumstance|n. 情况；n. 条件；n. 经济状况|The company reserves the right to cancel this agreement in certain circumstances .|本公司保留在一定条件下取消这项协议的权利。|under no circumstances 决不|【辨析】circulation n.发行量，销售量；circuit     n.电路，回路；circus      n.马戏团，马戏演员；circular    adj.圆形的，环形的；【谐音】四棵木是冻死(circumstance)"：四棵树都被冻死了，说明环境太恶劣了。
horror|n. 恐惧；n. 恐怖作品；n. 厌恶|The child screamed in horror when he saw a spider on the wall.|这个孩子看到墙上有只蜘蛛，惊恐地尖叫起来。|horror movie 恐怖电影|【辨析】mirror   n.镜子；terror   n.惊恐，恐惧；error    n.错误，差错；honor    n.荣誉；horrify  v.使感到震惊，使产生反感；horrible adj.可怕的，令人恐惧的；【谐音】好弱(horror)"：弱小的人容易感到恐惧。
flock|v. 蜂拥，聚集；n. 动物群；n. 一大群|A flock of children rushed into the hall.|一大群儿童冲向大厅。|flock to 蜂拥而至；flock to sp 聚集到某地|【辨析】folk n.人们
hail|v. 赞扬；n. 冰雹；v. 招手叫车；v. 下冰雹；v. 打招呼|He hailed a taxi to leave the party.|他招手叫了一辆出租车，离开了派对。|a hail of abuse 一阵恶骂；hail from 出生于；a hail of 一阵|【辨析】bail  n.保释；rail  n.铁路系统；jail  n.监狱；nail  n.钉子；trail n.痕迹，踪迹；【谐音】嗨呦(hail)"：下冰雹了，赶紧叫出租车停车。
ensure|v. 保证，确保|The airline is taking actions to ensure safety on its aircraft.|这家航空公司正采取措施保证飞行安全。|insure against death 人寿保险|【辨析】insure v.为……投保；assure v.使确信，向……保证；【谐音】嗯(en)确定(sure)"：确保，使某事发生。
