fraction|n. 少量，小部分|The average income is high, though many people earn just a fraction of that average.|平均收入很高，但是很多人赚的只有平均工资的一小部分。|irrational fraction 假分数|【辨析】friction n.不和，分歧；function n.功能，职责；faction  n.派系，宗派；fracture n.破裂，断裂；section  n.段，部分；portion  n.（某物的）一部分；fragile  adj.易碎的，易损的；fragment n.碎片；【谐音】翻个身(fraction)"：只有小部分人能翻个身。
icy|adj. 结冰的；adj. 冰冷的|The road was icy after the snow.|雪停了之后路面结冰了。|a icy welcome 冷淡的欢迎； icy manners 冰冷的态度；icy world 冰天雪地；icy manners 冷漠的态度；an icy welcome 冷淡的欢迎； icy manners 冰冷的态度|【谐音】爱死(icy)"：形容冰冷的人或物。
learning|n. 学习；n. 学到的知识|Language learning is a long and complex process.|语言学习是一个漫长而复杂的过程。|profound learning 学识渊博；set up for 自以为|【辨析】learn   v.学习，学会；learned adj.博学的；earn    v.赚得，挣钱
smash|v. 打碎；v. 猛烈撞击；n. 打碎；n. 撞车；v. 打败|A cup fell off and smashed into pieces.|一个杯子掉了下来，摔得粉碎。|smash hit 非常受欢迎的书（歌曲、电影、演员等）；smashing粉碎性的 沉重的 惨重的 （口）十分出色的 非常好的；smash into 撞击到某处|【辨析】slash v.（用利器）砍，劈；clash n.冲突，交战；crash v.撞车，坠毁；marsh n.沼泽，湿地；harsh adj.（环境）恶劣的，艰苦的；【谐音】司马氏(smash)"：司马光粉碎（砸）缸。
merit|n. 优点；n. 价值|The plan is entirely without merit .|这个计划毫无价值。|merit aid 奖学金；merit pay 绩效工资；merit one's attention 值得注意|【辨析】melt   v.（使）熔化，融化；metric adj.米制的，公制的
exterior|n. 外部；adj. 外部的；n. 外表；adj. 外面的|The exterior of the house needs a new coat of paint.|房子的外墙需要刷一层新漆。|a friendly exterior 一幅友好的外表 interior内部；an exterior policy 对外政策|【辨析】interior    adj.内部的，里面的；external    adj.外部的，外面的；inferior    adj.次的，较差的；superior    adj.（规模或实力）更大的，更强的，(在品质上)更好的；deteriorate v.恶化，变坏；【谐音】伊格斯特例(exterior)"：伊格因外表好看成为特例，强调外部或外表。
urgent|adj. 紧急的；adj. 急切的|The police issued an urgent appeal to all citizens for relevant information.|警方紧急呼吁所有市民提供相关信息。|come up 走近，开始，发生，提出，发芽|【辨析】urge    v.敦促，催促，力劝；urgency n.紧急，迫切；agent   n.代理人，代理商；【谐音】饿真的(urgent)"：真的饿，急迫地需要食物。
core|adj. 最重要的，核心的；n. 核心；n. 中心；n. 果核|Remove the apple core before juicing it.|给苹果榨汁前要把苹果核去掉。|at the core of 在...的中心；core value 核心价值观；hard core 中坚力量/核心力量；路基碎砖石/路基垫层 be rotten to the core 坏透了 core competence 核心能力/核心竞争力 core curriculum 基础课程 core time （弹性工作时间制中员工必须上班的时间）基本上班时间 to the core 直至核心/十足/透顶 multi-aperture core 多孔磁心；core values 核心价值|【辨析】cord  n.粗线，细绳；corn  n.谷物，谷粒；sore  adj.（发炎）疼痛的，酸痛的；ore   n.矿石，矿砂；score n.（游戏或比赛中的）得分，比分；coin  n.硬币，金属货币；【谐音】靠(core)"：这个核心才是重点！
grasp|v. 领会；n. 理解；v. 抓紧；n. 紧抓|Kay grasped him by the wrist.|凯紧紧抓住他的手腕。||【辨析】grab   v.攫取，抓住；grip   n.紧握；gossip n.流言蜚语，小道消息；【谐音】哥拉撕破(grasp)"：哥抓紧使劲一拉就撕破了。
comparable|adj. 相当的；adj. 类似的；adj. 可比较的|His handwriting is not bad, but it's hardly comparable with yours.|他的书法不错，但是很难和你的相比。|be comparable with 比得上；comparable with 与..相比|【辨析】compatible  adj.兼容的；comparative n.（形容词或副词的）比较级；【谐音】扛破包(comparable)"：你比得上谁？
endanger|v. 危及，危害|That one mistake seriously endangered the future of the company.|仅那一个失误就严重地危及了公司的未来。|into the bargain 此外，而且|【辨析】endangered adj.（动植物）濒危的；【谐音】因单着(endanger)"：一个人独处容易陷入危险。
character|n. 角色；n. 性格；n. 特性；n. 具有某种个性的人；n. 字母；n. 字符|Generosity is part of the Chinese character .|慷慨是中国人性格的一部分。|in one's character 以谁的身份；Chinese character 汉字；out of character 不合适；in character 性格。。。|【辨析】characteristic n.特征，特点，特色；chapter        n.章，回，篇；【谐音】差(cha)个人(r)表演(act)"：角色、品格。
steer|v. 引导；v. 驾驶；v. 操纵|She carefully steered the car along the winding road up the mountain.|她小心翼翼地在曲折的山路上开车上山。|steer airplane 驾驶飞机；steer away 偏离；steer clear of 绕开，避开|【辨析】sheer  adj.（用于强调）纯粹的，完全的；steep  adj.（路、山等）陡峭的；stir   v.搅拌，搅和（液体等物质）；stare  v.凝视，盯着看；sheet  n.床单，被单；stale  adj.（食物）不新鲜的，变味的；sphere n.（活动、兴趣、专业知识的）范围，领域；【谐音】死定了(steer)"：死定了，我不会驾驶啊。
given|prep. 考虑到；adj. 特定的；adj. 规定的；prep. 由于|Given his age, he's a remarkably fast swimmer.|考虑到他的年龄，他可称得上是个很出众的游泳选手了。|Given that 鉴于；be given to do 喜好做什么，爱做什么；be given to shyness 怯生
mechanic|n. 机械师；n. 力学；n. 运作方式；n. 机械学|I got a job as a mechanic in a local garage.|我在当地一家汽车维修厂找到了一份维修工人的工作。|a car mechanic 汽车修理工|【辨析】mechanics  n.机械学，力学；mechanical adj.机械（方面）的；mechanism  n.机械装置，机件；merchant   n.商人，（尤指外贸）批发商；machine    n.机器，机械（装置）；medical    adj.医学的，医疗的；【谐音】没看尼克(mechanic)"：如果没看尼克（技术专家），就学不了机械技术。
vulnerable|adj. 易受伤害的；adj. 需要特别关心的；adj. 脆弱的|He is only a vulnerable child in need of protection from the police.|他只是个脆弱的孩子，需要警察的保护。|be vulnerable to 易受。。。伤害；vulnerable mentality 脆弱的心理；everyone has vulnerable 人人有缺点|【辨析】valuable      adj.值钱的，贵重的；vulnerability n.易损性，弱点
attribute|v. 把…归因于；n. 品质；v. 认为…具有某种特质；n. 属性|The scientist attributed his success to hard work and teamwork.|那名科学家将他的成功归功于勤奋努力和团队合作。|attribute to 归因于；be attributed to 把...归咎于|【辨析】attitude   n.态度，看法；distribute v.分发，分配；contribute v.捐赠，捐助；【谐音】爱吹不由他(attribute)"：归因于他的品质、属性和特征。；【变形】现在分词：attributing
successor|n. 继任者|The young officer was designated as his successor .|这位年轻的官员被指定为他的继承人。||【辨析】successive  adj.连续的，依次的；succession  n.连续不断的人（物）；predecessor n.前任，前辈；【谐音】成功(success)的人(or)"：继承人，通常指成功人士的接班人。
